Address,Segments,Content Type,Status Code,Status,Indexability,Indexability Status
https://www.ocdentalstudio.com/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/wp-content/uploads/elementor/google-fonts/fonts/mulish-1ptvg83hx_sghgqk3wot.woff2,,font/woff2,200,,Indexable,
https://ocdentalstudio.com/wp-content/uploads/elementor/google-fonts/fonts/roboto-kfo7cnqeu92fr1me7ksn66agldtyluama3yuba.woff2,,font/woff2,200,,Indexable,
https://ocdentalstudio.com/wp-content/uploads/elementor/google-fonts/fonts/mulish-1pttg83hx_sghgqk2jovaqq.woff2,,font/woff2,200,,Indexable,
https://ocdentalstudio.com/wp-content/uploads/2022/07/1414484653-1.mp4,,video/mp4,206,Aborted,Indexable,
https://ocdentalstudio.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff2,,font/woff2,200,,Indexable,
https://ocdentalstudio.com/author/janellecomfort/,,text/html,200,,Indexable,
https://ocdentalstudio.com/wp-content/themes/hello-elementor/assets/js/hello-frontend.min.js?ver=3.3.0,Title - Empty,text/html; charset=UTF-8,404,Aborted,Non-Indexable,Client Error
https://ocdentalstudio.com/wp-content/themes/hello-elementor/style.min.css?ver=3.3.0,Title - Empty,text/html; charset=UTF-8,404,Aborted,Non-Indexable,Client Error
https://ocdentalstudio.com/wp-content/themes/hello-elementor/theme.min.css?ver=3.3.0,Title - Empty,text/html; charset=UTF-8,404,Aborted,Non-Indexable,Client Error
https://ocdentalstudio.com/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.3.0,Title - Empty,text/html; charset=UTF-8,404,Aborted,Non-Indexable,Client Error
https://www.ocdentalstudio.com/restorative-dentistry/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/wp-content/plugins/make-column-clickable-elementor/assets/js/make-column-clickable.js?ver=1.4.0,Title - Empty,text/html; charset=UTF-8,404,Aborted,Non-Indexable,Client Error
https://www.ocdentalstudio.com/for-patients/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/dental-bonding/,,text/html,200,,Indexable,
https://ocdentalstudio.com/meet-dr-comfort/,,text/html,200,,Indexable,
https://www.ocdentalstudio.com/teeth-whitening/%20,Title - Empty,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected
https://ocdentalstudio.com/reviews/,,text/html,200,,Indexable,
https://ocdentalstudio.com/dental-crown/,,text/html,200,,Indexable,
https://ocdentalstudio.com/dental-bridges/,,text/html,200,,Indexable,
https://ocdentalstudio.com/teeth-whitening/,,text/html,200,,Indexable,
https://ocdentalstudio.com/preventive-dentistry/,,text/html,200,,Indexable,
https://www.ocdentalstudio.com/dental-bonding/%20,Title - Empty,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected
https://ocdentalstudio.com/tooth-colored-fillings/,,text/html,200,,Indexable,
https://www.ocdentalstudio.com/orthodontics/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/dental-implants/,,text/html,200,,Indexable,
https://ocdentalstudio.com/blog/,,text/html,200,,Indexable,
https://ocdentalstudio.com/porcelain-veneers/,,text/html,200,,Indexable,
https://www.ocdentalstudio.com/about-us/,,text/html,200,,Non-Indexable,Canonicalised
https://www.ocdentalstudio.com/dental-bridges/,,text/html,200,,Non-Indexable,Canonicalised
https://www.ocdentalstudio.com/dental-crown/,,text/html,200,,Non-Indexable,Canonicalised
https://www.ocdentalstudio.com/childrens-dentistry/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/about-us/,,text/html,200,,Indexable,
https://www.ocdentalstudio.com/meet-dr-comfort/,,text/html,200,,Non-Indexable,Canonicalised
https://www.ocdentalstudio.com/privacy-policy/,,text/html,200,,Non-Indexable,Canonicalised
https://www.ocdentalstudio.com/dentures/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/restorative-dentistry/,,text/html,200,,Indexable,
https://www.ocdentalstudio.com/missing-teeth/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/root-canal-therapy/,,text/html,200,,Indexable,
https://www.ocdentalstudio.com/dental-implants/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/meet-our-dental-specialists/,,text/html,200,,Indexable,
https://www.ocdentalstudio.com/cosmetic-dentistry/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/transform-your-smile-with-dental-crowns-in-santa-ana-how-the-process-works-and-what-to-expect/,,text/html,200,,Indexable,
https://ocdentalstudio.com/contact/,,text/html,200,,Indexable,
https://ocdentalstudio.com/reasons-to-have-regular-checkups-with-your-dentist-in-santa-ana-ca/,,text/html,200,,Indexable,
https://ocdentalstudio.com/dentures/,,text/html,200,,Indexable,
https://ocdentalstudio.com/dental-technology/,,text/html,200,,Indexable,
https://ocdentalstudio.com/our-services/,,text/html,200,,Indexable,
